iso_code,continent,location,population,population_density,date,reproduction_rate,icu_patients,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions
AFG,Asia,Afghanistan,39835428,54.422,1/2/2021,0.85,,,,
AFG,Asia,Afghanistan,39835428,54.422,1/3/2021,0.85,,,,
AFG,Asia,Afghanistan,39835428,54.422,1/4/2021,0.85,,,,
AFG,Asia,Afghanistan,39835428,54.422,1/5/2021,0.84,,,,
AFG,Asia,Afghanistan,39835428,54.422,1/6/2021,0.83,,,,
AFG,Asia,Afghanistan,39835428,54.422,1/7/2021,0.83,,,,
AFG,Asia,Afghanistan,39835428,54.422,1/8/2021,0.83,,,,
AFG,Asia,Afghanistan,39835428,54.422,1/9/2021,0.82,,,,
AFG,Asia,Afghanistan,39835428,54.422,1/10/2021,0.82,,,,
AFG,Asia,Afghanistan,39835428,54.422,1/11/2021,0.82,,,,
AFG,Asia,Afghanistan,39835428,54.422,1/12/2021,0.82,,,,
AFG,Asia,Afghanistan,39835428,54.422,1/13/2021,0.82,,,,
AFG,Asia,Afghanistan,39835428,54.422,1/14/2021,0.82,,,,
AFG,Asia,Afghanistan,39835428,54.422,1/15/2021,0.82,,,,
AFG,Asia,Afghanistan,39835428,54.422,1/16/2021,0.83,,,,
AFG,Asia,Afghanistan,39835428,54.422,1/17/2021,0.83,,,,
AFG,Asia,Afghanistan,39835428,54.422,1/18/2021,0.83,,,,
AFG,Asia,Afghanistan,39835428,54.422,1/19/2021,0.83,,,,
AFG,Asia,Afghanistan,39835428,54.422,1/20/2021,0.83,,,,
AFG,Asia,Afghanistan,39835428,54.422,1/21/2021,0.83,,,,
AFG,Asia,Afghanistan,39835428,54.422,1/22/2021,0.83,,,,
AFG,Asia,Afghanistan,39835428,54.422,1/23/2021,0.82,,,,
AFG,Asia,Afghanistan,39835428,54.422,1/24/2021,0.82,,,,
AFG,Asia,Afghanistan,39835428,54.422,1/25/2021,0.81,,,,
AFG,Asia,Afghanistan,39835428,54.422,1/26/2021,0.81,,,,
AFG,Asia,Afghanistan,39835428,54.422,1/27/2021,0.8,,,,
AFG,Asia,Afghanistan,39835428,54.422,1/28/2021,0.79,,,,
AFG,Asia,Afghanistan,39835428,54.422,1/29/2021,0.79,,,,
AFG,Asia,Afghanistan,39835428,54.422,1/30/2021,0.79,,,,
AFG,Asia,Afghanistan,39835428,54.422,1/31/2021,0.78,,,,
AFG,Asia,Afghanistan,39835428,54.422,2/1/2021,0.78,,,,
AFG,Asia,Afghanistan,39835428,54.422,2/2/2021,0.78,,,,
AFG,Asia,Afghanistan,39835428,54.422,2/3/2021,0.77,,,,
AFG,Asia,Afghanistan,39835428,54.422,2/4/2021,0.77,,,,
AFG,Asia,Afghanistan,39835428,54.422,2/5/2021,0.77,,,,
AFG,Asia,Afghanistan,39835428,54.422,2/6/2021,0.76,,,,
AFG,Asia,Afghanistan,39835428,54.422,2/7/2021,0.76,,,,
AFG,Asia,Afghanistan,39835428,54.422,2/8/2021,0.76,,,,
AFG,Asia,Afghanistan,39835428,54.422,2/9/2021,0.76,,,,
AFG,Asia,Afghanistan,39835428,54.422,2/10/2021,0.76,,,,
AFG,Asia,Afghanistan,39835428,54.422,2/11/2021,0.76,,,,
AFG,Asia,Afghanistan,39835428,54.422,2/12/2021,0.76,,,,
AFG,Asia,Afghanistan,39835428,54.422,2/13/2021,0.77,,,,
AFG,Asia,Afghanistan,39835428,54.422,2/14/2021,0.78,,,,
AFG,Asia,Afghanistan,39835428,54.422,2/15/2021,0.78,,,,
AFG,Asia,Afghanistan,39835428,54.422,2/16/2021,0.79,,,,
AFG,Asia,Afghanistan,39835428,54.422,2/17/2021,0.8,,,,
AFG,Asia,Afghanistan,39835428,54.422,2/18/2021,0.81,,,,
AFG,Asia,Afghanistan,39835428,54.422,2/19/2021,0.82,,,,
AFG,Asia,Afghanistan,39835428,54.422,2/20/2021,0.83,,,,
AFG,Asia,Afghanistan,39835428,54.422,2/21/2021,0.84,,,,
